id,"type","title","img","preparation","Calories","Fat","Saturated Fat","Cholesterol","Sodium","Carbs","Fiber","Sugar","Protein","tags","created_at","updated_at"
34,"Lunch","CAULIFLOWER RICE VEGGIE BOWL","images/dQejkDd2cHQspiVrhPXOJlWYnGzaDgF3u78KpRDb.png","<ul>
	<li>Heat pan and spray with cooking spray. Add cauliflower rice and season with some salt, pepper and paprika ( or can use a dash of any hot sauce of choice).</li>
	<li>Cook until golden color and remove from heat.</li>
	<li>Begin layering bowl with the 1st layer as cauliflower rice, then chopped carrots, cucumber, &frac12; sliced avocado and 2 tablespoons of hummus. Enjoy!</li>
</ul>","400","10 g","","0 mg","42 mg","6 g","9 g","0 g","22 g","CAULIFLOWER RICE VEGGIE BOWL","0000-00-00 00:00:00","0000-00-00 00:00:00"
35,"Lunch","AVO, SPINACH & EGG BOWL","images/JoWOsVGXJreBxDKRwYjI1ustCHDCdAw9inP5wcjt.png","<ul>
	<li>In a fry pan heat 1/2 teaspoon of coconut oil and add in 2 cups of spinach sauce until spinach is slightly wilted but not over soggy. Remove from pan and put spinach in bowl.</li>
	<li>In the same pan whip out any liquid from spinach and return to heat and add your remaining &frac12; teaspoon of coconut oil to pan. Crack 2 eggs and fry them until your desired liking.</li>
	<li>Put fried eggs on top of your sauteed spinach, a few dashes of everything bagel seasoning and a half of avocado. Enjoy!</li>
</ul>","340","28 g","","31 mg","126 mg","2 g","10 g","0 g","22 g","AVO SPINACH EGG BOWL","0000-00-00 00:00:00","0000-00-00 00:00:00"
36,"Lunch","SALMON AND MUSHROOM SKEWERS","images/TbOeIwLEspnrYyTg62d0v6gnv1bhUXwbhsYQt4pT.png","<ul>
	<li>Preheat your broiler to high.</li>
	<li>In a small bowl combine coconut oil, lemon juice, spices, salt and pepper.</li>
	<li>Slice salmon into bite size pieces and add them to bowl.</li>
	<li>Coat salmon in marinade</li>
	<li>Begin to assemble skewers alternating with one piece of salmon and mushroom. Should make 3 skewers total.</li>
	<li>Place under broiler for 6-8 minutes until your liking. Serve with an extra squeeze of lemon juice.</li>
</ul>","540","34 g","","109 mg","117 mg","3 g","12 g","0 g","49 g","SALMON MUSHROOM SKEWERS","0000-00-00 00:00:00","0000-00-00 00:00:00"
37,"Mid-Afternoon Snack","COFFEE PROTEIN SHAKE","images/SkWRvwPGDhRqXoT0qj5w3a9XhYVS16ymXTHoOO4n.png","<ul>
	<li>Add all ingredients into blender and blend until completely smooth for 2 minutes.</li>
</ul>","170","3.5 g","","0 mg","118 mg","2 g","2 g","5 g","28 g","COFFEE PROTEIN SHAKE","0000-00-00 00:00:00","0000-00-00 00:00:00"
38,"Mid-Afternoon Snack","SPICY AVOCADO TOAST","images/3EyoITNd05JFga8vvKyq484ifTEgu7oOpMeiBbU2.png","<ul>
	<li>Toast one slice of whole grain spread and spread &frac14; avocado on top. Sprinkle chili flakes on top.</li>
</ul>","150","4 g","","0 mg","90 mg","2 g","5 g","0 g","7 g","SPICY AVOCADO TOAST","0000-00-00 00:00:00","0000-00-00 00:00:00"
39,"Mid-Afternoon Snack","GREEK YOGURT BANANA MUFFINS","images/sMjZF30vQxiuWAnSVqfkHSV9LluLK1jxnAK6xXCK.png","<ul>
	<li>Preheat oven to 350F and line a muffin pan with liners.</li>
	<li>In a large mixing bowl mash bananas and then add ingredients except chocolate chips (baking soda, stevia, baking powder, greek yogurt, raw oats, almond milk)</li>
	<li>Mix until everything is incorporated and fold in chocolate chips</li>
	<li>Porton out into 12 muffins and bake for 20 minutes or until golden brown and firm.</li>
</ul>","90","2.5 g","","0 mg","43 mg","8 g","4 g","5 g","6 g","GREEK YOGURT BANANA MUFFINS","0000-00-00 00:00:00","0000-00-00 00:00:00"
40,"Mid-Afternoon Snack","MATCHA BLISS BITES","images/F8IkTlz8CVKdM39c0iU6tuLbCIHyqCKwBYkuMpKl.png","<ul>
	<li>Place all the ingredients (except the extra 1/4 cup almonds for rolling) into a food processor. Blend for 1 minute or until the mixture becomes smooth and thick like a paste.</li>
	<li>Scoop out enough of the mixture to form a 1 inch ball (about 1 1/2 tbsp) and roll between your hands to create a small, round ball.</li>
	<li>Set aside and repeat until all the mixture has been rolled into balls.</li>
	<li>Place the chopped 1/4 cup of almonds on a plate and roll the balls through the nuts, pressing them into the balls so they stick.</li>
	<li>Refrigerate for 15 minutes and then enjoy. Keeps for up to one week in refrigerator. Serving size is 2 balls.</li>
</ul>","80","4 g","","0 mg","66 mg","8 g","1 g","7 g","4 g","MATCHA BLISS BITES","0000-00-00 00:00:00","0000-00-00 00:00:00"
41,"Mid-Afternoon Snack","PEANUT BUTTER ENERGY BITES","images/N4cYumz0FkH9ZXwLqri5mjx4RswYV5gR7cOndQBh.png","<ul>
	<li>Combine all 5 ingredients in a medium bowl. Stir to combine. Place in the refrigerator for 15-30 minutes so they are easier to roll.</li>
	<li>Roll into 12 bites and store in the fridge for up to a week.</li>
</ul>","90","4.5 g","","0 mg","15 mg","9 g","4 g","7 g","5 g","PEANUT BUTTER ENERGY BITES","0000-00-00 00:00:00","0000-00-00 00:00:00"
42,"Mid-Afternoon Snack","BLACK BEAN DIP","images/NB3gcIeorl6J69cS0OyVur1WPPjF2TzUc0exP2og.png","<ul>
	<li>In a bowl mix together black beans, salsa, cottage cheese and guacamole.</li>
	<li>Spread on celery stalks for a perfect afternoon snack.</li>
</ul>","110","4.5 g","","63 mg","110 mg","11 g","4 g","0 g","13 g","BLACK BEAN DIP","0000-00-00 00:00:00","0000-00-00 00:00:00"
43,"Mid-Afternoon Snack","HEALTHY BRUSCHETTA TOAST","images/kVI77YoHgYFUyIFwrS4W04TlTQeD1b3uqKOdddtF.png","<ul>
	<li>Toast one piece of whole grain bread.</li>
	<li>Chop 1 small tomato, diced.</li>
	<li>On toasted bread brush with 1/2 teaspoon olive oil and topped with 1 tablespoon plain 2 percent Greek yogurt and a mixture of 3 tablespoons diced tomatoes with a few pieces of fresh basil.</li>
</ul>","180","4 g","","0 mg","0 mg","14 g","4 g","0 g","7 g","HEALTHY BRUSCHETTA TOAST","0000-00-00 00:00:00","0000-00-00 00:00:00"
44,"Mid-Afternoon Snack","CUCUMBER TURKEY SLIDERS","images/ENf1W0WocWiVK111yJxPeclEVvmH427oe7WMx2qL.png","<ul>
	<li>Slice cucumber in one inch thick slices and spread mustard one side of on each slice.</li>
	<li>Cut turkey deli into bite size squares to put on top of cucumbers.</li>
	<li>Assemble turkey on cucumbers and enjoy.</li>
</ul>","90","1.5 g","","20 mg","115 mg","0 g","2 g","0 g","10 g","CUCUMBER TURKEY SLIDERS","0000-00-00 00:00:00","0000-00-00 00:00:00"
45,"Mid-Afternoon Snack","GREEK YOGURT DIP","images/qrGbyj68gzcmIQSX6qFAYh3m4uzAoCnN6dxGZ1eh.png","<ul>
	<li>Combine all ingredients in a medium mixing bowl and serve alongside raw veggies of your choice</li>
</ul>","90","2.5 g","","0 mg","32 mg","6 g","4 g","6 g","12 g","GREEK YOGURT DIP","0000-00-00 00:00:00","0000-00-00 00:00:00"
46,"Mid-Afternoon Snack","AFTERNOON ENERGY JUICE","images/kjfka7ooA8zKqFyAlGxtlLsTKten1R0dRSln00yE.png","<ul>
	<li>Combine all ingredients in a blender until smooth for about 2 minutes.</li>
</ul>","130","2 g","","0 mg","115 mg","8 g","4 g","15 g","6 g","AFTERNOON ENERGY JUICE","0000-00-00 00:00:00","0000-00-00 00:00:00"
47,"Mid-Afternoon Snack","BAKED SWEET POTATO FRIES","images/my48nzQ2lsf01Ae6YAh6LTP9y5Q98YXXnNPMFdIi.png","<ul>
	<li>Preheat oven to 425 F and line a baking pan with foil</li>
	<li>Slice sweet potato in 1/2 inch thick medallions and place on baking sheet.</li>
	<li>Drizzle with olive oil and toss together to coat the fries.</li>
	<li>Now add seasonings and toss together again and lay out sweet potatoes flat on baking sheet.</li>
	<li>Bake for 20 minutes</li>
	<li>In a small bowl add your greek yogurt and hot sauce and mix together. Serve alongside fries for dipping.</li>
</ul>","90","3.5 g","","0 mg","73 mg","27 g","4 g","6 g","5 g","BAKED SWEET POTATO FRIES","0000-00-00 00:00:00","0000-00-00 00:00:00"
48,"Dinner","TURKEY AND ZUCCHINI MEATBALLS","images/cbefgX4nmpKQAndVNqSLQGkKOYVzXzZTGtrpYQZQ.png","<ul>
	<li>Combine all the ingredients in a bowl. You will have a pretty wet mixture. Squeeze together 1 inch balls. The mixture is almost too wet to really roll. Don&#39;t worry, it will firm up once it hits the hot oil in the pan.</li>
	<li>Heat 3 tbsp olive oil in a cast iron skillet or non-stick pan. Turn the heat on to high and add the meatballs. Gently brown each side. The meatballs will be delicate to move around at first, but it will become easier as each side browns and they start to firm up.</li>
	<li>Then, add the strained tomatoes, some more sea salt, black pepper, and some additional parsley. Reduce the heat and simmer for 20 minutes or until the meatballs are cooked through. Enjoy by themselves or with some quinoa.</li>
</ul>","170","9 g","","176 mg","125 mg","6 g","8 g","0 g","27 g","TURKEY ZUCCHINI MEATBALLS","0000-00-00 00:00:00","0000-00-00 00:00:00"
49,"Dinner","CHICKEN CHOP SALAD","images/HVDBVP1fiAnUHUYhcVQqi9iKAqscbpIcy0Ovif0W.png","<ul>
	<li>Place all the chopped ingredients in a large mixing bowl.</li>
	<li>Squeeze the juice from 1 lemon over the bowl.</li>
	<li>Sprinkle with a pinch of sea salt and some black pepper.</li>
	<li>Start to drizzle with olive oil and red wine vinegar. Mix to coat everything. Keep adding splashes of vinegar, olive oil, salt, and pepper until you get the tang you want. Enjoy!</li>
</ul>","170","12 g","","91 mg","125 mf","3 g","6 g","0 g","24 g","CHICKEN CHOP SALAD","0000-00-00 00:00:00","0000-00-00 00:00:00"
50,"Dinner","TOFU LETTUCE WRAPS","images/lt6hkFTNfs4c15KMXTfkeP6uyf8KJ2IZR9C6w0cw.png","<ul>
	<li>In a large saute pan add 1 tablespoon coconut oil over medium-high heat. Add the chopped diced onions and carrots to pan. Cook for 5 minutes.</li>
	<li>Then add garlic and fresh ginger. Cook for an additional 3 minutes.</li>
	<li>Remove mixture from pan and place in bowl. Set aside.</li>
	<li>Using the same pan, bring it back up to temperature over medium-high heat. Add 1 tablespoon coconut oil and let oil get hot. Should start to bubble.</li>
	<li>Now add cubes tofu and allow it cook on one side for 3 minutes to get crispy and then flip for another 3 minutes on the other side.</li>
	<li>In the pan with tofu add back in your bowl of sauteed veggies. Cook together for 3 minutes.</li>
	<li>In a small bowl combine all sauce ingredients and whisk.</li>
	<li>Arrange lettuce cups on a plate and fill with 2 tablespoons of tofu mixture and drizzle with sauce.</li>
</ul>","157","7 g","","0 mg","19 mg","1 g","2 g","0 g","23 g","TOFU LETTUCE WRAPS","0000-00-00 00:00:00","0000-00-00 00:00:00"
51,"Dinner","LEMON CHICKEN & ASPARAGUS","images/6SXjzfBAobv8aBzmL5g2edFESbuS4oAoRJCExWfo.png","<ul>
	<li>Cut chicken breasts in half horizontally to make them thinner pieces.</li>
	<li>Place the flour and salt and pepper in a shallow dish and gently toss each chicken breast in the dish to coat.</li>
	<li>Add olive oil or ghee to a large skillet over medium high heat; add the chicken and saute for 3-5 minutes on each side, until golden brown, sprinkling each side with the lemon pepper directly in the pan. When the chicken is golden brown and cooked through, transfer to a plate.</li>
	<li>Add the chopped asparagus to the pan. Saute for a few minutes until bright green and tender. Remove from the pan and set aside. Lay the lemon slices flat on the bottom of the pan and cook for a few minutes on each side without stirring so that they caramelize and pick up the browned bits left in the pan from the chicken and oil.</li>
	<li>Assemble the chopped veggies and lemon on the bottom and top it off with a chicken breast. Enjoy!</li>
</ul>","190","16 g","","0 mg","125 mg","16 g","9 g","0 g","27 g","LEMON CHICKEN ASPARAGUS","0000-00-00 00:00:00","0000-00-00 00:00:00"
52,"Dinner","QUINOA & ROASTED VEGGIE BOWL","images/KFwTdAA4ZfLEf1ch0b5RPkGgOtztaOQ27z2a5lmn.png","<ul>
	<li>Cook quinoa according to packing and set aside.</li>
	<li>Preheat oven to 425F and line a sheet pan with foil and spray with cooking spray.</li>
	<li>Arrange cubed butternut squash, mushrooms, broccoli on pan and sprinkle with sea salt, pepper and paprika.</li>
	<li>Bake for 25 minutes. Serve roasted veggies on top of quinoa.</li>
</ul>","310","14 g","","0 mg","125 mg","18 g","6 g","0 g","37 g","QUINOA & ROASTED VEGGIE BOWL","0000-00-00 00:00:00","0000-00-00 00:00:00"
53,"Dinner","AHI TUNA STEAKS OVER KALE","images/2WNPcbAp0ejerJZ1QQ6XtM4tTapfdGixU7CKP1oC.png","<ul>
	<li>Heat a cast iron skillet or fry pan over medium-high heat add in olive oil.</li>
	<li>Salt and Pepper both sides of tuna steak</li>
	<li>Once pan is hot and starting to smoke place tuna steak on pan over medium-high heat for 3 minutes on each side for rare ahi tuna. If you like it more cooked search for an additional two minutes on each side</li>
	<li>Serve immediately alongside baby kale and squeeze some more lemon or lime juice over kale.</li>
</ul>","320","21 g","","660 mg","125 mg","9 g","4 g","6 g","32 g","AHI TUNA STEAKS OVER KALE","0000-00-00 00:00:00","0000-00-00 00:00:00"
54,"Dinner","CHICKEN FAJITAS SALAD","images/GgtZUnaVWfyyaOlnfp9630ebXSI8ms9iT8qM3chT.png","<ul>
	<li>Preheat oven to 400F</li>
	<li>Line a baking sheet with foil and spray with cooking spray.</li>
	<li>On a cutting board, first slice bell pepper and onion and place on pan. Now on same cutting board slice chicken into thin strips and place on pan.</li>
	<li>Sprinkle taco seasoning over chicken and veggies.</li>
	<li>Bake for 20 minutes and serve on top of a bed of lettuce.</li>
</ul>","170","2 g","","0 mg","130 mg","4 g","2 g","0 g","33 g","CHICKEN FAJITAS SALAD","0000-00-00 00:00:00","0000-00-00 00:00:00"
55,"Dinner","FARRO, SQUASH & CRANBERRY SALAD","images/iFHJKqR2v4lIjMGJkhfMe9sHCY3Vr4cWKnnoqXbC.png","<ul>
	<li>In a medium pot, cook farro according to package. Once cooked, set aside.</li>
	<li>Preheat oven to 425F and line baking sheet with foil.</li>
	<li>Toss cubed butternut squash with olive oil, salt and pepper.</li>
	<li>Bake for 25 minutes.</li>
	<li>In a bowl mix together farro, butternut squash, cranberries, balsamic vinegar and goat cheese. Serve on top of a bed of spinach</li>
</ul>","270","18 g","","0 mg","100 mg","19 g","2 g","15 g","17 g","FARRO SQUASH CRANBERRY SALAD","0000-00-00 00:00:00","0000-00-00 00:00:00"
56,"Dinner","PESTO SALMON W/ ROASTED BROCCOLI","images/wK5Mqkm3TW7sCE9E4fhzqIWSdJ0vhtTGPU4PgeUq.png","<ul>
	<li>Preheat oven to 400F. Line 2 baking sheets with foil and spray with cooking spray.</li>
	<li>Arrange salmon filet on one baking sheet and sprinkle salt and pepper on both sides. Spread pesto on top on filet. On the other baking sheet arrange broccoli drizzle with olive oil, salt and pepper. Place both baking sheets in oven</li>
	<li>Cook for 16-20 minutes. Until salmon is cooked to your desire. Enjoy!</li>
</ul>","270","33 g","","109 mg","117 mg","0 g","0 g","0 g","47 g","PESTO SALMON ROASTED BROCCOLI","0000-00-00 00:00:00","0000-00-00 00:00:00"
57,"Dinner","ZUCCHINI BEEF BURGERS","images/zKXmIOK6KJQpWwz1IjZeeNS0u8Bqi2lWmuAtZkir.png","<ul>
	<li>Combine all into a bowl and mix by hand. Begin to form into patties the size of your fist. Should make 2 patties.</li>
	<li>Pre-heat cast iron skillet or fry pan over medium-high heat. Add 1 teaspoon oil ( coconut, olive oil or ghee) let oil get hot and then place in your burger.</li>
	<li>Cook for 4 minutes on the first side and flip and cook for 3 minutes on the other side or until your liking.</li>
</ul>","390","21 g","","116 mg","135 mg","0 g","4 g","0 g","44 g","ZUCCHINI BEEF BURGERS","0000-00-00 00:00:00","0000-00-00 00:00:00"
